TermId,TermDescription,TermName
1,An annuity is a series of payments made at fixed intervals of time. Annuities are primarily used as a means of securing a steady cash flow for an individual during their retirement years.,Annuity
2,An insurance claim is the actual application for benefits provided by an insurance company. It is a request for payment of the contractual benefits by the insurer that is made by the insured or the beneficiary.,Claim
3,It is the amount of liability covered for an individual by insurance services. Living and death benefits are listed in life insurance.,Coverage
4,It is the amount on a life insurance policy that is payable to the beneficiary when the recipient passes away.,Death Benefit
5,It is the amount that the insured pays before the insurance company begins to pay.,Deductible
6,It refers to conditions that are not covered by the general insurance contract.,Exclusion
7,It is the termination of a policy upon the policy owners failure to pay the premium within the grace period.,Lapse
8,It is a specific cause of loss covered by an insurance policy, such as a fire, windstorm, flood, or theft.,Peril
9,It is a specific cause of loss covered by an insurance policy, such as a fire, windstorm, flood, or theft.,Renewal
0,An actuary is a business professional who deals with the financial impact of risk and uncertainty,Actuary
